Financial Institution Number,Institution Name,Institution Type,Charter Type,Headquarters,Failure Date,Insurance Fund,Certificate Number,Transaction Type,Total Deposits,Total Assets,Estimated Loss (2015)
2591,MENDON STATE BANK,COMMERCIAL BANK,STATE,"MENDON, IL",8/20/1986 ,FDIC,13714,ACQUISITION,17590,18891,8019
2592,UNITED BANK OF MINNEAPOLIS,COMMERCIAL BANK,STATE,"MINNEAPOLIS, KS",8/21/1986 ,FDIC,9662,ACQUISITION,22069,22692,2359
2593,DANBURY BANK,COMMERCIAL BANK,STATE,"DANBURY, TX",8/21/1986 ,FDIC,20116,ACQUISITION,9635,9358,2510
5741,THE FIRST NATIONAL BANK IN RIFLE,COMMERCIAL BANK,FEDERAL,"RIFLE, CO",8/21/1986 ,FDIC,3051,PAYOUT,17465,17588,3374
,METROPOLITAN FS&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"HIALEAH, FL",8/27/1986 ,FSLIC,32123,MANAGEMENT,49937,49772,
6743,BUENA VISTA BANK & TRUST COMPANY,COMMERCIAL BANK,STATE,"BUENA VISTA, CO",8/28/1986 ,FDIC,18749,PAYOUT,30475,32769,12192
5744,AMERICAN NATIONAL BANK OF EASTRIDGE,COMMERCIAL BANK,FEDERAL,"CASPER, WY",8/28/1986 ,FDIC,25047,PAYOUT,4055,4367,1187
2594,ALBANY STATE BANK,COMMERCIAL BANK,STATE,"ALBANY, MO",8/28/1986 ,FDIC,23248,ACQUISITION,4921,4676,2118
2595,FAIRVIEW STATE BANK OF FAIRVIEW,COMMERCIAL BANK,STATE,"FAIRVIEW, OK",9/4/1986 ,FDIC,10673,ACQUISITION,23700,24000,6515
2596,WESTERN BANK,COMMERCIAL BANK,STATE,"MIDLAND, TX",9/4/1986 ,FDIC,20616,ACQUISITION,70599,77432,27499
2597,CENTRAL BANK & TRUST OF TULSA,COMMERCIAL BANK,STATE,"TULSA, OK",9/10/1986 ,FDIC,19167,ACQUISITION,71573,80147,13412
7567,RAMONA  S&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"FILLMORE, CA",9/12/1986 ,FSLIC,28664,TRANSFER,95957,108085,
1798,WESTERN S&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"DALLAS, TX",9/12/1986 ,FSLIC,30438,MANAGEMENT,1806271,1960164,
2598,TEXAS INDEPENDENCE BANK,COMMERCIAL BANK,STATE,"PASADENA, TX",9/18/1986 ,FDIC,21149,ACQUISITION,11976,12252,3216
2599,TEXAS BANK & TRUST COMPANY,COMMERCIAL BANK,STATE,"LUBBOCK, TX",9/19/1986 ,FDIC,21038,ACQUISITION,35812,39250,11781
2601,HERITAGE NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"RICHARDSON, TX",9/25/1986 ,FDIC,23738,ACQUISITION,29998,33112,14141
2600,THE HOME STATE BANK,COMMERCIAL BANK,STATE,"LA CROSSE, KS",9/25/1986 ,FDIC,16861,ACQUISITION,13596,14718,5486
2602,AMERICAN BANK & TRUST COMPANY,COMMERCIAL BANK,STATE,"LAFAYETTE, LA",9/26/1986 ,FDIC,17532,ACQUISITION,191717,210925,65539
2603,MISSOURI FARMERS BANK,COMMERCIAL BANK,STATE,"MOUND CITY, MO",10/2/1986 ,FDIC,14957,ACQUISITION,25440,25963,7219
2604,FRONTIER NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"VISTA, CA",10/2/1986 ,FDIC,24270,ACQUISITION,10614,9913,1716
5754,CENTURY NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"HOUSTON, TX",10/2/1986 ,FDIC,24201,TRANSFER,13503,15522,5250
2605,COLUMBIA COMMUNITY BANK,COMMERCIAL BANK,STATE,"HERMISTON, OR",10/3/1986 ,FDIC,22869,ACQUISITION,4977,5257,1044
5757,INDEPENDENT NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"COVINA, CA",10/9/1986 ,FDIC,24727,TRANSFER,27744,28334,1401
,UNIFIED SAVINGS BANK,SAVINGS ASSOCIATION,FEDERAL/STATE,"NORTHRIDGE, CA",10/10/1986 ,FSLIC,32157,MANAGEMENT,104759,102833,
7544,HOMESTEAD S&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"WOODWARD, OK",10/10/1986 ,FSLIC,28527,TRANSFER,149213,134982,
6758,VALLEY STATE BANK,COMMERCIAL BANK,STATE,"BAGGS, WY",10/17/1986 ,FDIC,23409,PAYOUT,4611,5008,718
2608,SECURITY NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"ANCHORAGE, AK",10/23/1986 ,FDIC,22145,ACQUISITION,41634,41829,21960
2607,STILLWATER COMMUNITY BANK,COMMERCIAL BANK,STATE,"STILLWATER, OK",10/23/1986 ,FDIC,19010,ACQUISITION,22641,22610,7607
2606,BANK OF GERING,COMMERCIAL BANK,STATE,"GERING, NE",10/23/1986 ,FDIC,5437,ACQUISITION,22157,24155,3873
2609,REPUBLIC BANK,COMMERCIAL BANK,STATE,"BLANCHARD, LA",10/31/1986 ,FDIC,20758,ACQUISITION,39419,41684,11598
6763,SEDGWICK COUNTY BANK,COMMERCIAL BANK,STATE,"JULESBURG, CO",11/5/1986 ,FDIC,23504,TRANSFER,3665,3825,1482
2612,FIRST STOCK YARDS BANK,COMMERCIAL BANK,STATE,"ST. JOSEPH, MO",11/6/1986 ,FDIC,1620,ACQUISITION,31526,31589,8681
2611,THE HOME BANK,COMMERCIAL BANK,STATE,"SAVANNAH, MO",11/6/1986 ,FDIC,1428,ACQUISITION,40088,39092,7485
5765,THE FIRST NATIONAL BANK & TR CO.,COMMERCIAL BANK,FEDERAL,"ENID, OK",11/6/1986 ,FDIC,4090,PAYOUT,96804,100115,27385
2610,THE CITIZENS STATE BANK,COMMERCIAL BANK,STATE,"DONNA, TX",11/6/1986 ,FDIC,12998,ACQUISITION,27793,27468,6912
2613,METROPOLITAN BANK & TRUST COMPANY,COMMERCIAL BANK,STATE,"BATON ROUGE, LA",11/7/1986 ,FDIC,24081,ACQUISITION,69201,70053,28671
2614,CHOKIO STATE BANK,COMMERCIAL BANK,STATE,"CHOKIO, MN",11/7/1986 ,FDIC,10995,ACQUISITION,10959,11917,4880
2615,THE HOXIE STATE BANK,COMMERCIAL BANK,STATE,"HOXIE, KS",11/13/1986 ,FDIC,13570,ACQUISITION,33362,35821,9004
2616,THE BANK OF NORTHERN CALIFORNIA,COMMERCIAL BANK,STATE,"SAN JOSE, CA",11/14/1986 ,FDIC,24395,ACQUISITION,15774,16095,133
5771,FIRST NATIONAL BANK OF TEMPLE,COMMERCIAL BANK,FEDERAL,"TEMPLE, OK",11/14/1986 ,FDIC,18871,TRANSFER,7124,7346,511
2617,TEXANA NATIONAL BANK OF COLLEGE,COMMERCIAL BANK,FEDERAL,"COLLEGE STATION, TX",11/20/1986 ,FDIC,24855,ACQUISITION,11897,12085,2976
2618,NORMAN BANK OF COMMERCE,COMMERCIAL BANK,STATE,"NORMAN, OK",11/20/1986 ,FDIC,19098,ACQUISITION,41632,43525,12399
2619,FIRST NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"WILLOWS, CA",11/20/1986 ,FDIC,3547,ACQUISITION,59245,62962,2465
2622,PANHANDLE BANK & TRUST COMPANY,COMMERCIAL BANK,STATE,"BORGER, TX",12/4/1986 ,FDIC,15371,ACQUISITION,99900,112074,17761
2621,HAYS STATE BANK,COMMERCIAL BANK,STATE,"HAYS, KS",12/4/1986 ,FDIC,19094,ACQUISITION,32252,27762,15458
2623,FIRST NATIONAL BANK OF STEWARTVILLE,COMMERCIAL BANK,FEDERAL,"STEWARTVILLE, MN",12/4/1986 ,FDIC,5258,ACQUISITION,18282,18475,980
7545,FIRSTSOUTH  FS&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"PINE BLUFF, AR",12/5/1986 ,FSLIC,29048,TRANSFER,1500237,1680854,
5779,CORDELL NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"CORDELL, OK",12/5/1986 ,FDIC,4069,TRANSFER,73505,78649,35620
2624,THE CITIZENS BANK OF WINDSOR,COMMERCIAL BANK,STATE,"WINDSOR, MO",12/9/1986 ,FDIC,14262,ACQUISITION,24271,24790,7670
,FIRST SAVINGS OF AMERICA,SAVINGS ASSOCIATION,FEDERAL/STATE,"ORLAND PARK, IL",12/12/1986 ,FSLIC,29461,MANAGEMENT,56013,46975,
7546,GUARANTY FEDERAL BANK FSB,SAVINGS BANK,STATE,"CASPER, WY",12/12/1986 ,FSLIC,29648,TRANSFER,73471,63780,
2625,LANDMARK NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"DENVER, CO",12/18/1986 ,FDIC,24638,ACQUISITION,12756,12879,4230
6782,FIRST BANK & TRUST CO.,COMMERCIAL BANK,STATE,"BOOKER, TX",12/18/1986 ,FDIC,12294,TRANSFER,84607,94888,35752
5781,LAGO VISTA NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"LAGO VISTA, TX",12/18/1986 ,FDIC,24388,TRANSFER,12370,11862,5312
2626,LAKELAND STATE BANK,COMMERCIAL BANK,STATE,"PEQUOT LAKES, MN",12/19/1986 ,FDIC,1407,ACQUISITION,49145,49435,7013
2627,FARMERS STATE BANK,COMMERCIAL BANK,STATE,"LUEDERS, TX",12/19/1986 ,FDIC,11936,ACQUISITION,9243,9695,2969
2631,THE SECURITY NAT BK & TR CO. OF NORMAN,COMMERCIAL BANK,FEDERAL,"NORMAN, OK",1/8/1987 ,FDIC,4159,ACQUISITION,171175,198716,86222
5788,AMERICAN NATIONAL BANK OF GRAND JUNCTION,COMMERCIAL BANK,FEDERAL,"GRAND JUNCTION, CO",1/8/1987 ,FDIC,25053,TRANSFER,7242,7669,1577
2630,BOWIE NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"BOWIE, TX",1/8/1987 ,FDIC,18756,ACQUISITION,12406,12253,800
2632,STATE BANK OF CUBA,COMMERCIAL BANK,STATE,"CUBA, IL",1/9/1987 ,FDIC,12548,ACQUISITION,17717,18275,2475
2635,FIRST CHARTER BANK,COMMERCIAL BANK,STATE,"DENVER, CO",1/15/1987 ,FDIC,23829,ACQUISITION,9347,10125,2959
2636,THE FIRST NATIONAL BANK OF SKIATOOK,COMMERCIAL BANK,FEDERAL,"SKIATOOK, OK",1/15/1987 ,FDIC,24423,ACQUISITION,13566,13988,4115
2633,LATIMER BANK & TRUST,COMMERCIAL BANK,STATE,"LATIMER, IA",1/15/1987 ,FDIC,17475,ACQUISITION,21988,23230,3229
2634,THE FIRST NATIONAL BANK OF RUSH SPRINGS,COMMERCIAL BANK,FEDERAL,"RUSH SPRINGS, OK",1/15/1987 ,FDIC,4189,ACQUISITION,12502,12827,3749
7548,UMPQUA S&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"ROSEBURG, OR",1/16/1987 ,FSLIC,28309,PAYOUT,88486,108213,
7547,FIRST S&LA OF BURKBURNETT,SAVINGS ASSOCIATION,FEDERAL/STATE,"BURKBURNETT, TX",1/16/1987 ,FSLIC,31169,TRANSFER,74124,204538,
5794,NATIONAL BANK OF FREDERICK,COMMERCIAL BANK,FEDERAL,"FREDERICK, OK",1/22/1987 ,FDIC,14627,TRANSFER,22368,23821,10475
6796,FIRST SIERRA BANK,COMMERCIAL BANK,STATE,"BISHOP, CA",1/23/1987 ,FDIC,23282,TRANSFER,22996,23227,4082
7577,NORTH AMERICA  S&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"SANTA ANNA, CA",1/23/1987 ,FSLIC,32176,PAYOUT,220504,220304,
5795,THE FIRST NATIONAL BANK OF MARLBOROUGH,COMMERCIAL BANK,FEDERAL,"MARLBOROUGH, MA",1/23/1987 ,FDIC,2609,TRANSFER,55881,60731,18654
2641,THE LA PRYOR STATE BANK,COMMERCIAL BANK,STATE,"LA PRYOR, TX",1/29/1987 ,FDIC,8444,ACQUISITION,5444,5695,1618
6798,FIRST STATE BANK OF PATTONSBURG,COMMERCIAL BANK,STATE,"PATTONBURG, MO",1/29/1987 ,FDIC,15143,PAYOUT,5779,5915,1499
2637,PEOPLES BANK & TRUST COMPANY,COMMERCIAL BANK,STATE,"HOLDENVILLE, OK",1/29/1987 ,FDIC,19522,ACQUISITION,18791,20176,5147
2639,BEAR CREEK NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"BEAR CREEK, TX",1/29/1987 ,FDIC,25633,ACQUISITION,25970,26593,7540
2640,"MONTGOMERY COUNTY BANK, N.A.",COMMERCIAL BANK,FEDERAL,"THE WOODLANDS, TX",1/29/1987 ,FDIC,20694,ACQUISITION,47634,48494,13871
2638,THE FARMERS NATIONAL BANK OF REMINGTON,COMMERCIAL BANK,FEDERAL,"REMINGTON, IN",1/29/1987 ,FDIC,4372,ACQUISITION,33499,34717,7767
5806,MARKET NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"DENVER, CO",2/5/1987 ,FDIC,24274,TRANSFER,9377,8724,3644
2643,STATE BANK OF ALLISON,COMMERCIAL BANK,STATE,"ALLISON, IA",2/5/1987 ,FDIC,10496,ACQUISITION,16993,17353,1511
2642,BOULEVARD STATE BANK,COMMERCIAL BANK,STATE,"WICHITA, KS",2/5/1987 ,FDIC,17267,ACQUISITION,89631,102271,20129
5805,SUNBELT NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"DALLAS, TX",2/5/1987 ,FDIC,24709,PAYOUT,11780,11380,5049
2644,COMMUNITY BANK,COMMERCIAL BANK,STATE,"SEILING, OK",2/11/1987 ,FDIC,24056,ACQUISITION,5373,5144,2407
5810,FEDERATED NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"LIVE OAK, TX",2/12/1987 ,FDIC,25193,PAYOUT,12392,13632,4904
5809,SECURITY NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"MIDLAND, TX",2/12/1987 ,FDIC,24039,PAYOUT,8813,8644,3712
2645,FIRST CITY BANK OF ATOKA,COMMERCIAL BANK,STATE,"ATOKA, OK",2/12/1987 ,FDIC,18773,ACQUISITION,12450,11622,2483
7581,"UNIVERSAL SA, FA",SAVINGS ASSOCIATION,FEDERAL/STATE,"CHICKASHA, OK",2/13/1987 ,FSLIC,31913,PAYOUT,87976,104554,
7549,LIFE SAVINGS OF AMERICA,SAVINGS BANK,STATE,"ROCKFORD, IL",2/13/1987 ,FSLIC,31115,TRANSFER,339245,342279,
2646,"FIRST STATE BANK OF KING CITY, MISSOURI",COMMERCIAL BANK,STATE,"KING CITY, MO",2/13/1987 ,FDIC,14742,ACQUISITION,14503,14457,5492
2647,THE COUNTY BANK,COMMERCIAL BANK,STATE,"MANATEE COUNTY, FL",2/13/1987 ,FDIC,21627,ACQUISITION,159572,187142,69120
2648,FIRST STATE BANK OF ATMORE,COMMERCIAL BANK,STATE,"ATMORE, AL",2/19/1987 ,FDIC,24990,ACQUISITION,12392,12365,0
2649,HUB CITY BANK & TRUST COMPANY,COMMERCIAL BANK,STATE,"LAFAYETTE, LA",2/20/1987 ,FDIC,19257,ACQUISITION,38209,37978,12864
5815,THE FIRST NATIONAL BANK OF WESLACO,COMMERCIAL BANK,FEDERAL,"WESLACO, TX",2/20/1987 ,FDIC,5579,PAYOUT,73170,70708,16026
2651,FIRST NATIONAL BANK OF CROSBY,COMMERCIAL BANK,FEDERAL,"CROSBY, TX",2/26/1987 ,FDIC,24356,ACQUISITION,8001,7797,2388
2650,FARMERS STATE BANK,COMMERCIAL BANK,STATE,"HART, TX",2/26/1987 ,FDIC,17947,ACQUISITION,9594,9803,1246
2652,THE LEWISTOWN BANK,COMMERCIAL BANK,STATE,"LEWISTOWN, IL",2/27/1987 ,FDIC,3695,ACQUISITION,14938,15254,4167
7589,KEY S&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"ENGLEWOOD, CO",2/27/1987 ,FSLIC,30623,TRANSFER,203684,241648,
,FIRST FS&LA OF BELOIT,SAVINGS ASSOCIATION,FEDERAL/STATE,"BELOIT, KS",2/27/1987 ,FSLIC,28129,TRANSFER,89654,82910,
2653,THE FIRST STATE BANK,COMMERCIAL BANK,STATE,"ROCKFORD, IA",3/4/1987 ,FDIC,9101,ACQUISITION,15205,15754,1418
2657,FIRST NATIONAL BANK OF SAPULPA,COMMERCIAL BANK,FEDERAL,"SAPULPA, OK",3/5/1987 ,FDIC,24262,ACQUISITION,7600,7460,2514
5821,FIRST NATIONAL BANK IN WEST CONCORD,COMMERCIAL BANK,FEDERAL,"WEST CONCORD, MN",3/5/1987 ,FDIC,14426,TRANSFER,8741,9068,1385
2655,LIBERTY BANK,COMMERCIAL BANK,STATE,"HOUSTON, TX",3/5/1987 ,FDIC,18994,ACQUISITION,53860,57195,17480
2656,SEALY NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"SEALY, TX",3/5/1987 ,FDIC,25326,ACQUISITION,7586,7670,2162
2660,WESTERN BANK,COMMERCIAL BANK,STATE,"EL PASO, TX",3/12/1987 ,FDIC,20915,ACQUISITION,46082,46701,13489
2659,THE FIRST NATIONAL BANK OF OLNEY,COMMERCIAL BANK,FEDERAL,"OLNEY, TX",3/12/1987 ,FDIC,3372,ACQUISITION,17340,16684,2475
2661,EXPRESSWAY BANK,COMMERCIAL BANK,STATE,"OKLAHOMA CITY, OK",3/12/1987 ,FDIC,24822,ACQUISITION,20059,19089,5834
5824,PLAZA NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"DEL RIO, TX",3/12/1987 ,FDIC,23445,PAYOUT,33068,34250,17986
6828,BEAVER CREEK STATE BANK,COMMERCIAL BANK,STATE,"BEAVER CREEK, MN",3/13/1987 ,FDIC,8846,TRANSFER,7149,7269,964
7579,VICTOR S&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"MUSKOGEE, OK",3/13/1987 ,FSLIC,29828,MANAGEMENT,505320,601315,
2662,UNITED OKLAHOMA BANK,COMMERCIAL BANK,STATE,"OKLAHOMA CITY, OK",3/17/1987 ,FDIC,411,ACQUISITION,121959,171925,39633
,PERPETUAL SB,SAVINGS ASSOCIATION,FEDERAL/STATE,"LOS ANGELES, CA",3/18/1987 ,FSLIC,32183,MANAGEMENT,59674,62462,
2664,SWEENEY BANK,COMMERCIAL BANK,STATE,"SWEENEY, TX",3/19/1987 ,FDIC,16856,ACQUISITION,20071,19669,5951
2663,RED RIVER NATIONAL BANK IN CLARKSVILLE,COMMERCIAL BANK,FEDERAL,"CLARKSVILLE, TX",3/19/1987 ,FDIC,3139,ACQUISITION,23367,22829,5309
2665,CLARKS FORK NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"FROMBERG, MT",3/19/1987 ,FDIC,1108,ACQUISITION,8159,8423,1194
,FIRST SOUTHERN SA,SAVINGS ASSOCIATION,FEDERAL/STATE,"PASCAGOULA, MS",3/20/1987 ,FSLIC,31893,TRANSFER,57202,47063,
7561,VERNON S&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"VERNON, TX",3/20/1987 ,FSLIC,31171,TRANSFER,1582967,1347012,
2668,NEW CITY BANK,COMMERCIAL BANK,STATE,"ORANGE, CA",3/20/1987 ,FDIC,24789,ACQUISITION,25847,26049,5556
2666,THE MADILL BANK & TRUST COMPANY,COMMERCIAL BANK,STATE,"MADILL, OK",3/20/1987 ,FDIC,4243,ACQUISITION,39050,39630,11324
,FIRST FS&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"HAGERSTOWN, MD",3/20/1987 ,FSLIC,29821,TRANSFER,124677,95719,
2667,MOROCCO STATE BANK,COMMERCIAL BANK,STATE,"MOROCCO, IN",3/20/1987 ,FDIC,13095,ACQUISITION,15779,16299,1710
2669,THE FIRST STATE BANK IN BILLINGS,COMMERCIAL BANK,STATE,"BILLINGS, OK",3/26/1987 ,FDIC,9466,ACQUISITION,10308,10151,1162
2670,TALLULAH STATE BANK & TRUST COMP,COMMERCIAL BANK,STATE,"TALLULAH, LA",3/27/1987 ,FDIC,8803,ACQUISITION,31357,31136,11925
7553,EQUITABLE S&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"STANTON, CA",3/27/1987 ,FSLIC,31880,TRANSFER,83722,58927,
2671,THE FIRST NATIONAL BANK OF HERINGTON,COMMERCIAL BANK,FEDERAL,"HERINGTON, KS",4/2/1987 ,FDIC,4685,ACQUISITION,19866,20742,4928
2673,FIRST NATIONAL BANK OF BRAMAN,COMMERCIAL BANK,FEDERAL,"BRAMAN, OK",4/9/1987 ,FDIC,4047,ACQUISITION,11728,12218,4834
2672,"THE SOUTHWESTERN BANK, N.A.",COMMERCIAL BANK,FEDERAL,"HOUSTON, TX",4/9/1987 ,FDIC,24791,ACQUISITION,14541,14704,5390
2674,COMMONWEALTH BANK,COMMERCIAL BANK,STATE,"GLENDALE, CO",4/9/1987 ,FDIC,24161,ACQUISITION,7696,7799,481
2675,DEER LODGE BANK & TRUST COMPANY,COMMERCIAL BANK,STATE,"DEER LODGE, MT",4/9/1987 ,FDIC,8316,ACQUISITION,14148,15166,2957
7554,FUTURE S&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"ALBANY, OR",4/10/1987 ,FSLIC,32028,TRANSFER,57710,57614,
6843,THE CITIZENS STATE BANK,COMMERCIAL BANK,STATE,"BROWNSTOWN, IN",4/10/1987 ,FDIC,10094,TRANSFER,27725,29049,1316
2676,BANK OF IRON COUNTY,COMMERCIAL BANK,STATE,"PAROWAN, UT",4/10/1987 ,FDIC,16617,ACQUISITION,19467,19827,3752
,SOUTHERN FLORIDABANC SA,SAVINGS ASSOCIATION,FEDERAL/STATE,"BOCA RATON, FL",4/16/1987 ,FSLIC,32204,MANAGEMENT,256578,219068,
2678,"FIRST COMMERCIAL BANK OF TEXAS,",COMMERCIAL BANK,FEDERAL,"HOUSTON, TX",4/16/1987 ,FDIC,24467,ACQUISITION,4685,4400,1898
6845,FIRST STATE BANK OF FOREST CITY,COMMERCIAL BANK,STATE,"FOREST CITY, MO",4/16/1987 ,FDIC,16291,PAYOUT,6830,6457,1756
2677,FIRST BANK OF SAGINAW,COMMERCIAL BANK,STATE,"SAGINAW, TX",4/16/1987 ,FDIC,20724,ACQUISITION,29945,30622,8320
2680,THE PEOPLES BANK,COMMERCIAL BANK,STATE,"COLLINSVILLE, AL",4/22/1987 ,FDIC,76,ACQUISITION,11899,11896,934
2679,THE BANK OF NORTH MISSISSIPPI,COMMERCIAL BANK,STATE,"OAKLAND, MS",4/22/1987 ,FDIC,11426,ACQUISITION,13820,14452,2720
2681,OSCEOLA STATE BANK & TRUST COMPANY,COMMERCIAL BANK,STATE,"OSCEOLA, IA",4/23/1987 ,FDIC,20304,ACQUISITION,7693,8590,1583
5851,NORTH CENTRAL NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"AUSTIN, TX",4/23/1987 ,FDIC,26201,TRANSFER,23093,23388,11466
7556,LIBERTY FS&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"LEESVILLE, LA",4/24/1987 ,FSLIC,31804,PAYOUT,150687,134936,
6852,HERITAGE BANK & TRUST,COMMERCIAL BANK,STATE,"SALT LAKE COUNTY, UT",4/29/1987 ,FDIC,22548,TRANSFER,16225,17640,110
6854,UNITEDBANK-HOUSTON,COMMERCIAL BANK,STATE,"HOUSTON, TX",4/30/1987 ,FDIC,18595,TRANSFER,183389,217304,110841
2682,PEOPLES STATE BANK,COMMERCIAL BANK,STATE,"TURKEY, TX",4/30/1987 ,FDIC,16098,ACQUISITION,5837,5789,1313
2683,AMERICAN BANK OF COMMERCE,COMMERCIAL BANK,STATE,"DENVER, CO",5/6/1987 ,FDIC,26207,ACQUISITION,24587,25504,10933
5857,NORTH AMERICAN NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"LITTLETON, CO",5/7/1987 ,FDIC,24569,TRANSFER,9008,9516,3795
2684,FIRST STATE BANK OF SISSETON,COMMERCIAL BANK,STATE,"SISSETON, SD",5/7/1987 ,FDIC,506,ACQUISITION,19350,20058,4479
6858,FARMERS STATE BANK,COMMERCIAL BANK,STATE,"MADDOCK, ND",5/8/1987 ,FDIC,9426,TRANSFER,11675,11864,1118
2685,MOREAUVILLE STATE BANK,COMMERCIAL BANK,STATE,"MOREAUVILLE, LA",5/8/1987 ,FDIC,16357,ACQUISITION,16917,16813,3080
2689,THE FIRST NATIONAL BANK OF ELBOW LAKE,COMMERCIAL BANK,FEDERAL,"ELBOW LAKE, MN",5/14/1987 ,FDIC,5135,ACQUISITION,15712,14157,7717
2687,TODD COUNTY STATE BANK,COMMERCIAL BANK,STATE,"LONG PRAIRIE, MN",5/14/1987 ,FDIC,16684,ACQUISITION,15150,15410,2357
2686,MARLIN NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"MARLIN, TX",5/14/1987 ,FDIC,14279,ACQUISITION,43669,39566,12746
2688,UNITED BANK,COMMERCIAL BANK,STATE,"LIBBY, MT",5/14/1987 ,FDIC,19324,ACQUISITION,14434,15369,1718
,LIBERTY S&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"NEW PORT RICHEY, FL",5/15/1987 ,FSLIC,32138,MANAGEMENT,115467,98688,
1798,INDEPENDENT AMERICAN SA,SAVINGS ASSOCIATION,FEDERAL/STATE,"IRVING, TX",5/20/1987 ,FSLIC,31130,MANAGEMENT,1392604,1014023,
2690,BANK OF OAK GROVE,COMMERCIAL BANK,STATE,"OAK GROVE, LA",5/21/1987 ,FDIC,317,ACQUISITION,23551,24019,5966
5866,"TEXAS INVESTMENT BANK, N.A.",COMMERCIAL BANK,FEDERAL,"HOUSTON, TX",5/21/1987 ,FDIC,20792,TRANSFER,15268,17088,7966
2691,LAKE AUSTIN NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"AUSTIN, TX",5/21/1987 ,FDIC,24487,ACQUISITION,43348,43698,14074
5867,TEXAS NATIONAL BANK-WESTHEIMER,COMMERCIAL BANK,FEDERAL,"HOUSTON, TX",5/28/1987 ,FDIC,26199,TRANSFER,26420,26342,18143
5868,FIRST NATIONAL BANK OF WILMONT,COMMERCIAL BANK,FEDERAL,"WILMONT, MN",5/29/1987 ,FDIC,5275,TRANSFER,11777,13330,2005
2693,THE FIRST STATE BANK,COMMERCIAL BANK,STATE,"FRISCO, TX",6/4/1987 ,FDIC,16605,ACQUISITION,43477,43341,10328
6869,UNITED BANK OF TEXAS,COMMERCIAL BANK,STATE,"AUSTIN, TX",6/4/1987 ,FDIC,20065,TRANSFER,190365,208352,62407
,SECURITY SAVINGS ASSOCIATION,SAVINGS ASSOCIATION,FEDERAL/STATE,"TEXARKANA, TX",6/11/1987 ,FSLIC,31055,MANAGEMENT,478652,429813,
2695,FIRST STATE BANK,COMMERCIAL BANK,STATE,"MILFORD, TX",6/11/1987 ,FDIC,3346,ACQUISITION,6869,7304,1938
2694,THE BENTON STATE BANK,COMMERCIAL BANK,STATE,"BENTON, KS",6/11/1987 ,FDIC,17382,ACQUISITION,8750,9417,2972
2696,"NORTHWEST COMMERCIAL BANK, N.A.",COMMERCIAL BANK,FEDERAL,"HOUSTON, TX",6/11/1987 ,FDIC,24885,ACQUISITION,14457,14201,4686
,FRONTIER S&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"FAIRBANKS, AK",6/12/1987 ,FSLIC,32130,TRANSFER,7990,7408,
2697,WHITTIER THRIFT & LOAN,COMMERCIAL BANK,STATE,"WHITTIER, CA",6/12/1987 ,FDIC,26362,ACQUISITION,14409,15206,3263
2698,HAMILTON COUNTY STATE BANK,COMMERCIAL BANK,STATE,"LOCKLAND, OH",6/12/1987 ,FDIC,23207,ACQUISITION,11524,13762,0
7569,INVESTORS FEDERAL BANK,SAVINGS BANK,STATE,"EL RENO, OK",6/18/1987 ,FSLIC,29814,TRANSFER,96314,97509,
